Samples,206341_at,211269_s_at
Nodose nucleus.2,-0.531,2.27
Occipital lobe.1,-0.977,-0.954
Occipital lobe.2,-0.434,1.742
Omental adipose tissue.1,0.15,-0.384
Omental adipose tissue.2,4.493,4.108
Oral mucosa.1,-0.814,0.454
Oral mucosa.2,-0.597,0.73
Ovary.1,-1.04,-1.175
Ovary.2,0.263,-0.345
Parietal lobe.1,-0.958,0.184
Parietal lobe.2,-0.307,2.119
Parotid gland.1,-0.615,-1.537
Parotid gland.2,0.326,-0.915
Pbmc.1,-0.075,0.715
Pbmc.2,7.525,2.753
Penis.1,-0.702,-1.176
Penis.2,-0.05,0.379
Pharyngeal mucosa.1,-0.672,0.273
Pharyngeal mucosa.2,0.848,0.515
Pituitary gland.1,-1.492,0.357
Pituitary gland.2,0.716,3.018
Placenta.1,-1.045,-1.902
Placenta.2,0.366,0.102
Plasma cells.1,-1.274,-0.081
Plasma cells.2,-0.333,2.337
Platelets.1,-0.837,0.088
Platelets.2,0.647,1.609
Postcentral gyrus.1,-1.3,-1.454
Postcentral gyrus.2,-0.648,-0.625
Posterior singulate.1,-0.861,-1.627
Posterior singulate.2,-0.355,-0.452
Primary visual cortex.1,-0.838,-2.285
Primary visual cortex.2,-0.549,-1.076
Promyelocytes.1,-0.263,-1.073
Promyelocytes.2,0.316,-0.727
Prostate gland.1,-1.134,-0.738
Prostate gland.2,-0.229,-0.012
Putamen.1,-0.678,0.286
Putamen.2,-0.099,1.737
Rectum.1,-0.063,-0.574
Rectum.2,1.24,1.292
Rectum mucosa.1,0.371,-0.199
Rectum mucosa.2,0.805,0.078
Saliva.1,-0.116,-0.007
Saliva.2,2.635,6.109
Salivary gland.1,-0.984,1.008
Salivary gland.2,-0.622,2.321
Saphenous vein.1,-1.391,-0.373
Saphenous vein.2,0.419,-0.028
Sigmoid colon.1,-1.135,-0.346
Sigmoid colon.2,0.602,0.691
Sigmoid colon mucosa.1,0.359,-0.25
Sigmoid colon mucosa.2,0.793,0.338
Sinus mucosa.1,-0.977,1.809
Sinus mucosa.2,-0.434,2.708
Skeletal muscle.1,-0.422,-0.703
Skeletal muscle.2,0.158,1.094
Skin.1,-0.797,-2.255
Skin.2,0.216,-0.803
Sperm.1,-0.557,-0.387
Sperm.2,-0.122,1.617
Spinal cord.1,-0.984,0.854
Spinal cord.2,-0.622,1.822
Spleen.1,-0.138,-0.207
Spleen.2,0.875,0.692
Stomach.1,-0.7,0.317
Stomach.2,0.241,2.079
Substantia nigra.1,-0.751,0.996
Substantia nigra.2,-0.172,2.309
Substantia nigra pars compacta.1,-0.239,-1.404
Substantia nigra pars compacta.2,0.195,1.982
Subthalamic nucleus.1,-1.166,0.801
Subthalamic nucleus.2,-0.587,2.667
Superior frontal gyrus.1,-1.209,-1.453
Superior frontal gyrus.2,-0.593,-0.486
Synovial membrane.1,-1.252,-0.76
Synovial membrane.2,-0.672,0.173
T cells.1,0.515,-0.604
T cells.2,2.614,0.156
Temporal lobe.1,-0.927,1.081
Temporal lobe.2,-0.24,1.945
Testes.1,-1.081,-0.86
Testes.2,-0.574,-0.1
Thalamus.1,-0.745,0.588
Thalamus.2,-0.202,1.901
Thyroid gland.1,-0.89,-1.253
Thyroid gland.2,-0.13,1.132
Tongue main corpus.1,-0.744,0.113
Tongue main corpus.2,0.016,0.908
Tongue squamous cells.1,-1.226,-0.824
Tongue squamous cells.2,-0.43,1.076
Tonsil.1,1.774,1.249
Tonsil.2,2.136,2.079
Tonsil epithelium.1,-0.96,0.736
Tonsil epithelium.2,1.429,1.427
Trachea.1,-0.838,-0.549
Trachea.2,-0.476,-0.272
Trigeminal ganglia.1,-0.715,-0.323
Trigeminal ganglia.2,-0.208,0.645
Urethra.1,-0.795,-1.199
Urethra.2,-0.47,-0.647
Vagina.1,-0.876,-1.231
Vagina.2,-0.804,-0.056
Vastus lateralis muscle.1,-1.311,1.012
Vastus lateralis muscle.2,-0.442,3.016
Ventral tegmental area.1,-1.104,0.989
Ventral tegmental area.2,-0.38,2.129
Vestibular nuclei superior.1,-1.101,0.578
Vestibular nuclei superior.2,0.129,2.098
Vulva.1,-0.677,-1.539
Vulva.2,0.047,1.813
